Poker Room,Table Name,Table No.,Seat No.,Players,Nationality,Chips,Keyplayer
Merit Hall,Ocean Blue,1,1,Arthur Haley,BM,"30,000",
Merit Hall,Ocean Blue,1,2,Shannon Lockman,SA,"30,000",
Merit Hall,Ocean Blue,1,3,Wilfred Predovic,ID,"30,000",
Merit Hall,Ocean Blue,1,4,Alfonso McGlynn,RU,"30,000",
Merit Hall,Ocean Blue,1,5,SHAHINA,BE,"30,000",TRUE
Merit Hall,Ocean Blue,1,6,Kevin De Bruyne,KR,"30,000",
Merit Hall,Ocean Blue,1,7,TREY SONG,IT,"30,000",TRUE
Merit Hall,Ocean Blue,1,8,Whitney Ankunding,SZ,"30,000",
Merit Hall,Ocean Blue,1,9,Angel Reilly,GM,"30,000",
Merit Hall,Ocean Blue,2,1,Rene Emmerich,MO,"30,000",
Merit Hall,Ocean Blue,2,2,Maureen Daugherty,GW,"30,000",
Merit Hall,Ocean Blue,2,3,Lowell Pacocha,HM,"30,000",
Merit Hall,Ocean Blue,2,4,Kristie Carroll,RU,"30,000",
Merit Hall,Ocean Blue,2,5,Marlene Kunze,GH,"30,000",
Merit Hall,Ocean Blue,2,6,Clara DuBuque,KR,"30,000",
Merit Hall,Ocean Blue,2,7,Delores Davis,SX,"30,000",
Merit Hall,Ocean Blue,2,8,WOLFKING,KR,"30,000",TRUE
Merit Hall,Ocean Blue,2,9,Bryan Stamm,HR,"30,000",
Merit Hall,Ocean Blue,3,1,Kerry Waelchi,GG,"30,000",
Merit Hall,Ocean Blue,3,2,Freddie O'Hara,KW,"30,000",
Merit Hall,Ocean Blue,3,3,Dennis Littel,DO,"30,000",
Merit Hall,Ocean Blue,3,4,Reginald Muller,PN,"30,000",
Merit Hall,Ocean Blue,3,5,Alvin Sporer,DO,"30,000",
Merit Hall,Ocean Blue,3,6,SOHEE,KR,"30,000",TRUE
Merit Hall,Ocean Blue,3,7,Angela Rowe,ER,"30,000",
Merit Hall,Ocean Blue,3,8,Ramiro Stoltenberg,GP,"30,000",
Merit Hall,Ocean Blue,3,9,Jake Graham,NG,"30,000",
Merit Hall,Ocean Blue,4,1,Miguel Kessler,NL,"30,000",
Merit Hall,Ocean Blue,4,3,Robert Berge,TF,"30,000",
